B,P,C,X,N,Time
5,1,1,0,1,10.796851
5,1,5,0,1,10.850416
5,5,1,0,1,2.482059
5,5,5,0,1,2.645878
10,1,1,0,1,10.956901
10,1,5,0,1,11.090468
10,1,10,0,1,10.819403
10,5,1,0,1,2.602364
10,5,5,0,1,2.757561
10,5,10,0,1,2.520933
10,10,1,0,1,1.654804
10,10,5,0,1,1.577774
10,10,10,0,1,1.682673
5,1,1,200,1,10.796501
5,1,5,200,1,10.792305
5,5,1,200,1,2.598205
5,5,5,200,1,2.544251
10,1,1,200,1,11.050693
10,1,5,200,1,11.014322
10,1,10,200,1,10.773639
10,5,1,200,1,2.774606
10,5,5,200,1,2.757025
10,5,10,200,1,2.489772
10,10,1,200,1,1.574531
10,10,5,200,1,1.660169
10,10,10,200,1,1.550874
5,1,1,400,1,11.029990
5,1,5,400,1,10.775579
5,5,1,400,1,2.764921
5,5,5,400,1,2.764687
10,1,1,400,1,10.876029
10,1,5,400,1,11.045732
10,1,10,400,1,10.979270
10,5,1,400,1,2.582185
10,5,5,400,1,2.561179
10,5,10,400,1,2.554725
10,10,1,400,1,1.683103
10,10,5,400,1,1.619884
10,10,10,400,1,1.536166
