B,P,C,X,N,Time
5,1,1,0,1,0.269885
5,1,5,0,1,0.276346
5,5,1,0,1,0.243109
5,5,5,0,1,0.359393
10,1,1,0,1,0.333007
10,1,5,0,1,0.278224
10,1,10,0,1,0.281152
10,5,1,0,1,0.364180
10,5,5,0,1,0.238677
10,5,10,0,1,0.245373
10,10,1,0,1,0.332147
10,10,5,0,1,0.365735
10,10,10,0,1,0.331505
5,1,1,200,1,0.275888
5,1,5,200,1,0.272566
5,5,1,200,1,0.323694
5,5,5,200,1,0.363825
10,1,1,200,1,0.275218
10,1,5,200,1,0.278243
10,1,10,200,1,0.273720
10,5,1,200,1,0.324904
10,5,5,200,1,0.253225
10,5,10,200,1,0.218592
10,10,1,200,1,0.382147
10,10,5,200,1,0.326436
10,10,10,200,1,0.216818
5,1,1,400,1,0.279585
5,1,5,400,1,0.279947
5,5,1,400,1,0.324263
5,5,5,400,1,0.239462
10,1,1,400,1,0.381950
10,1,5,400,1,0.279877
10,1,10,400,1,0.278374
10,5,1,400,1,0.247410
10,5,5,400,1,0.324647
10,5,10,400,1,0.351240
10,10,1,400,1,0.326785
10,10,5,400,1,0.235418
10,10,10,400,1,0.325817
